i:117, rate:1800, w: 0, P99: 541.7952165837792
i:118, rate:3800, w: 6, P99: 1145.2689604602635
i:119, rate:4600, w: 6, P99: 1193.7152237828209
i:120, rate:2600, w: 6, P99: 1035.3577918493827
i:121, rate:1400, w: 0, P99: 335.0800372073815
i:122, rate:4600, w: 6, P99: 1195.6829379161284
i:123, rate:4000, w: 6, P99: 1160.4191507005294
i:124, rate:3400, w: 6, P99: 1120.8278078078283
i:125, rate:1400, w: 0, P99: 321.19819449417304
i:126, rate:3800, w: 6, P99: 1147.2595317071548
i:127, rate:4800, w: 6, P99: 1198.608609961803
i:128, rate:1400, w: 0, P99: 320.2254671386107
i:129, rate:4800, w: 6, P99: 1197.763302209685
i:130, rate:1600, w: 0, P99: 412.467417254789
i:131, rate:4000, w: 6, P99: 1160.0399164930416
i:132, rate:2400, w: 6, P99: 1010.8577089040905
i:133, rate:400, w: 0, P99: 134.9822054794217
i:134, rate:3200, w: 6, P99: 1099.336809048201
i:135, rate:800, w: 0, P99: 186.5888177728748
i:136, rate:3800, w: 6, P99: 1149.2372025838968
i:137, rate:3600, w: 6, P99: 1134.4722514638202
i:138, rate:1800, w: 0, P99: 542.561536808513
i:139, rate:3000, w: 6, P99: 1079.4838430974764
i:140, rate:4400, w: 6, P99: 1179.838788152949
i:141, rate:1800, w: 0, P99: 544.0292456367232
i:142, rate:4200, w: 6, P99: 1169.8360860374335
i:143, rate:4000, w: 6, P99: 1161.1390448864095
i:144, rate:400, w: 0, P99: 136.5065476302948
i:145, rate:1400, w: 0, P99: 327.135600289173
i:146, rate:600, w: 0, P99: 162.68682205084983
i:147, rate:2600, w: 6, P99: 1039.7356605445452
i:148, rate:800, w: 0, P99: 185.41836103355018
i:149, rate:1800, w: 0, P99: 542.9420672559776
i:150, rate:3400, w: 6, P99: 1111.9530349472222
i:151, rate:1400, w: 0, P99: 317.2566562334613
i:152, rate:3600, w: 6, P99: 1132.0938681678088
i:153, rate:1800, w: 0, P99: 549.3018922871289
i:154, rate:600, w: 0, P99: 163.94319801490758
i:155, rate:4000, w: 6, P99: 1160.3602323126133
i:156, rate:2600, w: 6, P99: 1031.5039518084095
i:157, rate:600, w: 0, P99: 164.02629626522355
i:158, rate:1200, w: 0, P99: 265.07791168871836
i:159, rate:4200, w: 6, P99: 1174.5605297916102
i:160, rate:1200, w: 0, P99: 283.6057057735665
