i:118, rate:1100, w: 0, P99: 904.7198170888488
i:119, rate:1100, w: 0, P99: 868.8404357759597
i:120, rate:2200, w: 6, P99: 1184.3736090383084
i:121, rate:2100, w: 6, P99: 1173.235138206096
i:122, rate:1600, w: 6, P99: 1097.8205758152014
i:123, rate:1900, w: 6, P99: 1149.2085119518347
i:124, rate:1300, w: 6, P99: 1028.8628634212
i:125, rate:200, w: 0, P99: 134.09863314892655
i:126, rate:1600, w: 6, P99: 1096.654187608188
i:127, rate:2300, w: 6, P99: 1190.8960233083624
i:128, rate:1000, w: 0, P99: 727.1222568367847
i:129, rate:2100, w: 6, P99: 1173.5555230495156
i:130, rate:200, w: 0, P99: 137.90865270029514
i:131, rate:2000, w: 6, P99: 1162.7506081273623
i:132, rate:300, w: 0, P99: 165.3293043924815
i:133, rate:1200, w: 6, P99: 1005.9018154395119
i:134, rate:1100, w: 0, P99: 901.4373993088575
i:135, rate:2400, w: 6, P99: 1198.118781775824
i:136, rate:1600, w: 6, P99: 1097.3438215053109
i:137, rate:200, w: 0, P99: 133.84964772298122
i:138, rate:2400, w: 6, P99: 1195.6739833689778
i:139, rate:1700, w: 6, P99: 1116.8560217804104
i:140, rate:1600, w: 6, P99: 1104.0686308408526
i:141, rate:2100, w: 6, P99: 1167.1903051019813
i:142, rate:1800, w: 6, P99: 1131.3690764569192
i:143, rate:1800, w: 6, P99: 1132.116155607761
i:144, rate:200, w: 0, P99: 134.99153999006265
i:145, rate:1500, w: 6, P99: 1079.2641937664455
i:146, rate:800, w: 0, P99: 432.2180959039146
i:147, rate:600, w: 0, P99: 263.4507039326893
i:148, rate:900, w: 5, P99: 981.2990565238255
i:149, rate:2300, w: 6, P99: 1189.3266343750672
i:150, rate:400, w: 0, P99: 186.81367624922743
i:151, rate:1200, w: 6, P99: 1008.2458292066455
i:152, rate:1600, w: 6, P99: 1094.650597714013
i:153, rate:1600, w: 6, P99: 1096.1559813362321
i:154, rate:1800, w: 6, P99: 1131.4690296236286
i:155, rate:600, w: 0, P99: 252.75814527621813
i:156, rate:600, w: 0, P99: 256.04719039902557
i:157, rate:1900, w: 6, P99: 1145.5140277068222
i:158, rate:1500, w: 6, P99: 1070.5450138965607
i:159, rate:2000, w: 6, P99: 1156.262199678918
i:160, rate:600, w: 0, P99: 252.7433810832721
i:161, rate:300, w: 0, P99: 161.6383448139817
i:162, rate:2200, w: 6, P99: 1180.1478503955466
i:163, rate:1100, w: 0, P99: 871.4019026445128
i:164, rate:1800, w: 6, P99: 1133.1893474181547
i:165, rate:2200, w: 6, P99: 1186.0764409430467
i:166, rate:2200, w: 6, P99: 1183.1175897173466
i:167, rate:1300, w: 6, P99: 1033.7338386176655
i:168, rate:2100, w: 6, P99: 1168.0956652811624
i:169, rate:900, w: 0, P99: 536.3078829687536
i:170, rate:2000, w: 6, P99: 1158.9519360138868
i:171, rate:2300, w: 6, P99: 1191.0351100328567
i:172, rate:1200, w: 6, P99: 1007.6745824241349
i:173, rate:900, w: 0, P99: 534.1890048170168
i:174, rate:300, w: 0, P99: 162.3923167114197
i:175, rate:1400, w: 6, P99: 1054.5598318967252
i:176, rate:2200, w: 6, P99: 1178.4578065759536
i:177, rate:300, w: 0, P99: 164.479504874881
i:178, rate:2200, w: 6, P99: 1180.6372165192765
i:179, rate:1400, w: 6, P99: 1054.1425169321676
i:180, rate:1700, w: 6, P99: 1117.82057433375
i:181, rate:1600, w: 6, P99: 1099.728409760013
i:182, rate:2100, w: 6, P99: 1167.0726466170292
i:183, rate:600, w: 0, P99: 269.3044160480214
i:184, rate:1100, w: 0, P99: 862.1760475596745
i:185, rate:2300, w: 6, P99: 1195.4615688922286
i:186, rate:1700, w: 6, P99: 1118.5590480886913
i:187, rate:900, w: 0, P99: 538.0246925417279
i:188, rate:300, w: 0, P99: 159.7427257198406
i:189, rate:900, w: 0, P99: 555.4555337050368
i:190, rate:1300, w: 6, P99: 1035.9399194936525
i:191, rate:2300, w: 6, P99: 1193.9348168325942
i:192, rate:1400, w: 6, P99: 1055.6115583081726
i:193, rate:2300, w: 6, P99: 1192.3613552853562
i:194, rate:900, w: 0, P99: 531.0538826934867
i:195, rate:2200, w: 6, P99: 1182.201347758848
i:196, rate:1700, w: 6, P99: 1119.001721505714
i:197, rate:2400, w: 6, P99: 1198.498782371427
i:198, rate:2000, w: 6, P99: 1160.297755089648
i:199, rate:1100, w: 0, P99: 873.2396826370501
i:200, rate:1000, w: 0, P99: 678.5087444508189
i:201, rate:1700, w: 6, P99: 1119.069933548648
i:202, rate:500, w: 0, P99: 214.6340253289246
i:203, rate:2400, w: 6, P99: 1198.3787984419048
i:204, rate:300, w: 0, P99: 161.59066312110062
i:205, rate:2400, w: 6, P99: 1195.1850400127912
i:206, rate:1000, w: 0, P99: 691.3009282060157
i:207, rate:300, w: 0, P99: 164.97766463787616
i:208, rate:1100, w: 0, P99: 897.77975301029
i:209, rate:1000, w: 0, P99: 669.2731414488574
i:210, rate:1800, w: 6, P99: 1127.9526408751303
i:211, rate:200, w: 0, P99: 136.7897045669309
i:212, rate:500, w: 0, P99: 210.3906020143909
i:213, rate:1500, w: 6, P99: 1073.5957301668832
i:214, rate:300, w: 0, P99: 161.78002336887877
i:215, rate:700, w: 0, P99: 325.506016332318
i:216, rate:2100, w: 6, P99: 1169.7857424925396
i:217, rate:2000, w: 6, P99: 1158.492784411418
i:218, rate:1700, w: 6, P99: 1114.3564678310383
i:219, rate:1100, w: 0, P99: 880.9841609920471
i:220, rate:1800, w: 6, P99: 1129.263723446335
i:221, rate:600, w: 0, P99: 262.08053342052875
i:222, rate:200, w: 0, P99: 136.10221538112398
